,_id,barcode,category,name,topBrand,brandCode,cpg.$ref,cpg.$id.$oid
223,5fd7f2b3be37ce733975586a,511111818304,Baking,test brand @1607987891852,0.0,TEST BRANDCODE @1607987891852,Cogs,5fd7f2b3be37ce7339755868
224,5fd7f2b8be37ce733975586f,511111218340,Baking,test brand @1607987896065,0.0,,Cogs,5fd7f2b8be37ce733975586e
225,5fd7f2b4be37ce733975586d,511111018339,Candy & Sweets,test brand @1607987892540,0.0,TEST BRANDCODE @1607987892541,Cogs,5332fa12e4b03c9a25efd1e7
226,5fd3acb6be37ce0d9386bb3f,511111618171,Baking,test brand @1607707829961,0.0,TEST BRANDCODE @1607707829962,Cogs,5fd3acb5be37ce0d9386bb3e
227,5332fa7be4b03c9a25efd22b,511111702948,,Diet Cherry Coke,,,Cpgs,5332f5ebe4b03c9a25efd0a8
228,58861c7e4e8d0d20bc42c4e0,511111701415,Beer Wine Spirits,Killians,0.0,KILLIAN'S,Cogs,5332f709e4b03c9a25efd0f1
229,5332f775e4b03c9a25efd127,511111403630,,Cheerios,,,Cpgs,5332f5f3e4b03c9a25efd0ae
230,581ce962e4b058c71f74c443,511111301813,,.,,,Cpgs,581ce8d5e4b058c71f74c442
231,5332fa08e4b03c9a25efd1d8,511111903130,,Frosted Flakes,,,Cpgs,5332f5f2e4b03c9a25efd0aa
232,5f3d6f44be37ce4ddbb1bb3b,511111715481,Baking,test brand @1597861700880,,TEST BRANDCODE @1597861700880,Cogs,5f3d6f44be37ce4ddbb1bb3a
233,5f628235be37ce78e6e2efb1,511111616696,Baking,test brand @1600291381675,,,Cogs,5f628235be37ce78e6e2efb0
234,58b5988ce4b0857c2ddb7252,511111301028,Beer Wine Spirits,Henry's Hard Sparkling,0.0,,Cogs,5332f709e4b03c9a25efd0f1
235,5f3ff200be37ce1c81aa1e0b,511111115595,Baking,test brand @1598026240846,,,Cogs,5f3ff200be37ce1c81aa1e0a
236,57ebc125e4b0ac389136a33b,511111302063,Grocery,Kraft Macaroni & Cheese,0.0,,Cogs,559c2234e4b06aca36af13c6
237,5332f7c8e4b03c9a25efd148,511111403401,,Cascadian Farm,,,Cpgs,5332f5f3e4b03c9a25efd0ae
238,57ebc2c8e4b0ac389136a349,511111901938,Grocery,Shake N' Bake,0.0,KRAFT SHAKE 'N BAKE,Cogs,559c2234e4b06aca36af13c6
